run_index,seed,scenario_id,run_id,csv_dir,status
1,1,FWD_BASE_T26820_R01,448132d4ffa2,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_01,ok
2,2,FWD_BASE_T26820_R02,732a3de8cf24,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_02,ok
3,3,FWD_BASE_T26820_R03,390cff1f1e11,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_03,ok
4,4,FWD_BASE_T26820_R04,44f403883b20,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_04,ok
5,5,FWD_BASE_T26820_R05,7edb7e24af76,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_05,ok
6,6,FWD_BASE_T26820_R06,78e92ca2ac80,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_06,ok
7,7,FWD_BASE_T26820_R07,ac79fd2f8c7e,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_07,ok
8,8,FWD_BASE_T26820_R08,b0bbc87ba386,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_08,ok
9,9,FWD_BASE_T26820_R09,f01efc8db8d5,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_09,ok
10,10,FWD_BASE_T26820_R10,4409c5310cd3,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_10,ok
11,11,FWD_BASE_T26820_R11,c3581c69e6d8,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_11,ok
12,12,FWD_BASE_T26820_R12,237e249acf66,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_12,ok
13,13,FWD_BASE_T26820_R13,6dec7378fb20,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_13,ok
14,14,FWD_BASE_T26820_R14,a8955557963c,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_14,ok
15,15,FWD_BASE_T26820_R15,55e8f26b5dd8,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_15,ok
16,16,FWD_BASE_T26820_R16,d4d3f8eabcc3,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_16,ok
17,17,FWD_BASE_T26820_R17,70185ae983f6,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_17,ok
18,18,FWD_BASE_T26820_R18,b98d8b8b9b83,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_18,ok
19,19,FWD_BASE_T26820_R19,42c6ae6134cb,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_19,ok
20,20,FWD_BASE_T26820_R20,8a1de40d4825,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_20,ok
21,21,FWD_BASE_T26820_R21,32c5c4020d4c,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_21,ok
22,22,FWD_BASE_T26820_R22,1759accbec8a,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_22,ok
23,23,FWD_BASE_T26820_R23,9b5aca8e42d1,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_23,ok
24,24,FWD_BASE_T26820_R24,bd80628df934,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_24,ok
25,25,FWD_BASE_T26820_R25,6410cb817fa2,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_25,ok
26,26,FWD_BASE_T26820_R26,3687bbee1538,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_26,ok
27,27,FWD_BASE_T26820_R27,a11f64341efb,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_27,ok
28,28,FWD_BASE_T26820_R28,1d118bd736a8,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_28,ok
29,29,FWD_BASE_T26820_R29,9bbece8bae39,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_29,ok
30,30,FWD_BASE_T26820_R30,cbac4e305517,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/forward_trigger_T26820/runs/run_30,ok
