run_index,seed,scenario_id,run_id,csv_dir,status
1,1,FWD_BASE_T26820,e68f9002d6ac,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_01,ok
2,2,FWD_BASE_T26820,ff7cb003af20,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_02,ok
3,3,FWD_BASE_T26820,ddf9ec07ba14,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_03,ok
4,4,FWD_BASE_T26820,10f41ec7f882,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_04,ok
5,5,FWD_BASE_T26820,89cd84c868d1,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_05,ok
6,6,FWD_BASE_T26820,ff2f61849038,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_06,ok
7,7,FWD_BASE_T26820,92d65118b9df,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_07,ok
8,8,FWD_BASE_T26820,f783e9634e6f,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_08,ok
9,9,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_09,failed
10,10,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_10,failed
11,11,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_11,failed
12,12,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_12,failed
13,13,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_13,failed
14,14,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_14,failed
15,15,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_15,failed
16,16,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_16,failed
17,17,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_17,failed
18,18,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_18,failed
19,19,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_19,failed
20,20,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_20,failed
21,21,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_21,failed
22,22,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_22,failed
23,23,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_23,failed
24,24,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_24,failed
25,25,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_25,failed
26,26,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_26,failed
27,27,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_27,failed
28,28,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_28,failed
29,29,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_29,failed
30,30,FWD_BASE_T26820,,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_g_star_e2e_parallel/runs/run_30,failed
