toolgroup,proba,y_pred_alarm,in_g_star,bn_t0_rule,eligible_B,snapshot_time_infer
DefMEt_FE_118,0.9484106,1,1,1,0,26820.0
Dielectric_FE_30,0.92807305,1,1,0,0,26820.0
TF_Met_FE_61,0.8813535,1,1,1,0,26820.0
EPI_38,0.8616221,1,1,0,0,26820.0
DE_BE_66,0.72405916,1,1,1,0,26820.0
Implant_91,0.6663308,0,0,1,1,26820.0
DE_BE_11,0.6506007,0,0,1,1,26820.0
Litho_FE_98,0.63739455,0,0,0,1,26820.0
Planar_FE_77,0.6352158,0,0,0,1,26820.0
DE_BE_67,0.6207524,0,0,1,1,26820.0
Implant_132,0.5797354,0,0,0,1,26820.0
Delay_32,0.57220113,0,0,1,1,26820.0
Dielectric_BE_28,0.5573755,0,0,0,1,26820.0
LithoTrack_BE_117,0.5348661,0,0,1,1,26820.0
Dielectric_BE_27,0.5324818,0,0,1,1,26820.0
LithoTrack_FE_95,0.5323587,0,0,1,1,26820.0
LithoMet_BE_18,0.51944894,0,0,1,1,26820.0
LithoMet_FE_19,0.51620257,0,0,0,1,26820.0
LithoTrack_FE_115,0.49115685,0,0,1,1,26820.0
DE_FE_51,0.48786885,0,0,1,1,26820.0
Planar_BE_75,0.485645,0,0,1,1,26820.0
Litho_FE_92,0.48496777,0,0,1,1,26820.0
DE_FE_59,0.48286834,0,0,0,1,26820.0
TF_BE_23,0.481272,0,0,1,1,26820.0
Litho_BE_110,0.47594994,0,0,1,1,26820.0
WE_FE_84,0.47547174,0,0,1,1,26820.0
Dielectric_BE_21,0.47299895,0,0,1,1,26820.0
DE_BE_13,0.46068463,0,0,1,1,26820.0
DE_BE_65,0.43751964,0,0,0,1,26820.0
Litho_FE_111,0.41592038,0,0,1,1,26820.0
DE_FE_71,0.41473883,0,0,1,1,26820.0
Diffusion_FE_44,0.4133119,0,0,0,1,26820.0
TF_BE_40,0.40959397,0,0,1,1,26820.0
Diffusion_FE_101,0.3994805,0,0,1,1,26820.0
DE_FE_54,0.39547226,0,0,0,1,26820.0
WE_FE_108,0.3718718,0,0,1,1,26820.0
Implant_128,0.3629688,0,0,1,1,26820.0
DE_FE_86,0.3614901,0,0,1,1,26820.0
Diffusion_FE_122,0.34594834,0,0,1,1,26820.0
WE_BE_82,0.33603692,0,0,0,1,26820.0
Diffusion_FE_125,0.33030465,0,0,0,1,26820.0
Diffusion_FE_127,0.3239231,0,0,1,1,26820.0
Diffusion_FE_120,0.3199402,0,0,1,1,26820.0
DefMet_FE_43,0.31206983,0,0,0,1,26820.0
WE_BE_81,0.31103167,0,0,0,1,26820.0
DE_FE_53,0.3058483,0,0,0,1,26820.0
Planar_FE_79,0.28294396,0,0,0,1,26820.0
TF_BE_26,0.28051028,0,0,1,1,26820.0
WE_BE_9,0.26963657,0,0,0,1,26820.0
Litho_REG_FE_64,0.25769523,0,0,0,1,26820.0
DE_FE_1,0.21843104,0,0,0,1,26820.0
WE_FE_83,0.21724562,0,0,0,1,26820.0
Litho_REG_BE_63,0.21033762,0,0,0,1,26820.0
DefMet_FE_34,0.1998172,0,0,0,1,26820.0
WE_BE_14,0.19870725,0,0,0,1,26820.0
WE_FE_47,0.18739866,0,0,0,1,26820.0
