run_index,seed,baseline_csv_dir,whatif_csv_dir,baseline_run_id,whatif_run_id,baseline_scenario_id,whatif_scenario_id
1,1,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_01,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_01,9e01a7f7765a,2d3d1e93c989,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R01
2,2,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_02,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_02,6ff487d6c5d1,835ed5df925f,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R02
3,3,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_03,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_03,16d8a1a173ce,ee3e288f4075,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R03
4,4,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_04,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_04,a010ae329fda,c84e9ebfc2a5,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R04
5,5,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_05,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_05,e7bbb86285f0,12efc837300e,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R05
6,6,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_06,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_06,3310b4c20150,87260e2a1b5a,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R06
7,7,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_07,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_07,0a9804859459,db4f65b81017,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R07
8,8,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_08,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_08,5a356ff474d9,92bedc541e04,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R08
9,9,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_09,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_09,9daa39a2bb2f,c9ba7f4c1201,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R09
10,10,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_10,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_10,844d2fc968df,516b2e074e72,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R10
11,11,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_11,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_11,bc9a78235cf1,c23270342ed0,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R11
12,12,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_12,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_12,218f3357278b,5e6e94a4f981,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R12
13,13,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_13,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_13,f19bf4a6a65e,dbc72a656c50,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R13
14,14,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_14,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_e2e/whatif_runs/run_14,d0d224e06eba,740c41789b3d,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R14
