run_index,seed,baseline_csv_dir,whatif_csv_dir,baseline_run_id,whatif_run_id,baseline_scenario_id,whatif_scenario_id
1,1,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_01,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_01,9e01a7f7765a,7d25ed735990,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R01
2,2,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_02,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_02,6ff487d6c5d1,c5493ced6c4b,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R02
3,3,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_03,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_03,16d8a1a173ce,7f6284252991,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R03
4,4,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_04,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_04,a010ae329fda,903b28d0a9ce,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R04
5,5,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_05,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_05,e7bbb86285f0,05e6c4ed807c,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R05
6,6,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_06,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_06,3310b4c20150,80c660f239a2,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R06
7,7,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_07,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_07,0a9804859459,dac68cc29ba4,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R07
8,8,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_08,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_08,5a356ff474d9,c37cad190330,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R08
9,9,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_09,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_09,9daa39a2bb2f,ac2ac54e357b,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R09
10,10,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_propagation_e2e/runs/run_10,/Users/skala/Desktop/SKALA/Final_Project/FAB_BEAR/simulation/out/ml_whatif_mc_e2e/whatif_runs/run_10,844d2fc968df,384e0504b138,FWD_BASE_T26820,FWD_WHATIF_T26820_STRONG_R10
