scenario_id,snapshot_time,lot_id,route_id,current_step_seq,status,tool_group,tool_id,queue_position,due_date_sim,priority,rem_steps,processing_remaining_min,wafers_per_lot,product,is_super_hot
FWD_BASE_T26820,26820.0,HotLot_3,Route_Product_3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,48012.433333333334,20,312,,25,Product_3,true
FWD_BASE_T26820,26820.0,HotLot_4,Route_Product_4,325,PROCESSING,TF_BE_23,DE_BE_13#10,,28701.855333333333,20,26,187.7340718092724,25,Product_4,false
FWD_BASE_T26820,26820.0,Lot_Product_3_1,Route_Product_3,1,PROCESSING,Diffusion_FE_120,Delay_32#138,,74418.82400000001,10,349,508.83,25,Product_3,true
FWD_BASE_T26820,26820.0,Lot_Product_3_10,Route_Product_3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,74884.034,10,348,,25,Product_3,true
FWD_BASE_T26820,26820.0,Lot_Product_3_100,Route_Product_3,208,PROCESSING,DE_FE_53,DE_FE_53#2,,79432.754,10,382,155.62001875374338,25,Product_3,true
FWD_BASE_T26820,26820.0,Lot_Product_3_101,Route_Product_3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,79484.444,10,400,,25,Product_3,true
FWD_BASE_T26820,26820.0,Lot_Product_3_102,Route_Product_3,1,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,79536.134,10,413,,25,Product_3,true
FWD_BASE_T26820,26820.0,Lot_Product_3_103,Route_Product_3,100,QUEUING,Diffusion_FE_120,Diffusion_FE_120#1,,79587.82400000001,10,486,,25,Product_3,true
FWD_BASE_T26820,26820.0,Lot_Product_3_104,Route_Product_3,174,PROCESSING,Diffusion_FE_122,TF_Met_FE_61#1,,79639.51400000001,10,415,530.316,25,Product_3,true
FWD_BASE_T26820,26820.0,Lot_Product_3_105,Route_Product_3,208,PROCESSING,DE_FE_53,DE_FE_53#4,,79691.204,10,381,169.7334332918945,25,Product_3,true
