scenario_id,tool_id,tool_group,op_state,current_setup,held_lot_id
FWD_CSV_f5178_T620,Dielectric_BE_28#4,Dielectric_BE_28,IDLE,,
FWD_CSV_f5178_T620,Dielectric_BE_60#4,Dielectric_BE_60,DOWN_BM,,
FWD_CSV_f5178_T620,Diffusion_FE_120#1,Diffusion_FE_120,IDLE,,
FWD_CSV_f5178_T620,Diffusion_FE_120#10,Diffusion_FE_120,RUN,,
FWD_CSV_f5178_T620,Diffusion_FE_120#11,Diffusion_FE_120,RUN,,
FWD_CSV_f5178_T620,Diffusion_FE_120#2,Diffusion_FE_120,RUN,,
FWD_CSV_f5178_T620,Diffusion_FE_126#1,Diffusion_FE_126,DOWN_BM,,
FWD_CSV_f5178_T620,Diffusion_FE_127#3,Diffusion_FE_127,IDLE,,
FWD_CSV_f5178_T620,Diffusion_FE_44#1,Diffusion_FE_44,IDLE,,
FWD_CSV_f5178_T620,Diffusion_FE_44#2,Diffusion_FE_44,IDLE,,
FWD_CSV_f5178_T620,Diffusion_FE_44#9,Diffusion_FE_44,IDLE,,
FWD_CSV_f5178_T620,Diffusion_FE_94#7,Diffusion_FE_94,IDLE,,
FWD_CSV_f5178_T620,Implant_128#5,Implant_128,DOWN_BM,,
FWD_CSV_f5178_T620,Implant_88#1,Implant_88,IDLE,,
FWD_CSV_f5178_T620,Implant_90#2,Implant_90,IDLE,,
FWD_CSV_f5178_T620,LithoMet_BE_18#8,LithoMet_BE_18,DOWN_BM,,
FWD_CSV_f5178_T620,LithoMet_FE_19#16,LithoMet_FE_19,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_115#18,LithoTrack_FE_115,IDLE,,
FWD_CSV_f5178_T620,LithoTrack_FE_115#29,LithoTrack_FE_115,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_115#31,LithoTrack_FE_115,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_115#32,LithoTrack_FE_115,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_95#21,LithoTrack_FE_95,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_95#22,LithoTrack_FE_95,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_95#33,LithoTrack_FE_95,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_95#36,LithoTrack_FE_95,DOWN_BM,,
FWD_CSV_f5178_T620,LithoTrack_FE_95#6,LithoTrack_FE_95,DOWN_BM,,
FWD_CSV_f5178_T620,Litho_BE_110#21,Litho_BE_110,IDLE,,
FWD_CSV_f5178_T620,Litho_BE_110#8,Litho_BE_110,IDLE,,
FWD_CSV_f5178_T620,Litho_FE_111#12,Litho_FE_111,IDLE,,
FWD_CSV_f5178_T620,Litho_FE_92#10,Litho_FE_92,IDLE,,
FWD_CSV_f5178_T620,Litho_FE_92#11,Litho_FE_92,DOWN_BM,,
FWD_CSV_f5178_T620,Litho_FE_92#17,Litho_FE_92,DOWN_BM,,
FWD_CSV_f5178_T620,Litho_FE_92#28,Litho_FE_92,IDLE,,
FWD_CSV_f5178_T620,Litho_FE_98#1,Litho_FE_98,DOWN_BM,,
FWD_CSV_f5178_T620,Litho_REG_BE_63#4,Litho_REG_BE_63,DOWN_BM,,
FWD_CSV_f5178_T620,Planar_BE_75#15,Planar_BE_75,IDLE,,
FWD_CSV_f5178_T620,TF_BE_2#1,TF_BE_2,IDLE,,
FWD_CSV_f5178_T620,TF_BE_2#4,TF_BE_2,DOWN_BM,,
FWD_CSV_f5178_T620,TF_BE_23#19,TF_BE_23,DOWN_BM,,
FWD_CSV_f5178_T620,TF_BE_23#21,TF_BE_23,IDLE,,
FWD_CSV_f5178_T620,TF_BE_23#7,TF_BE_23,DOWN_BM,,
FWD_CSV_f5178_T620,TF_BE_23#9,TF_BE_23,IDLE,,
FWD_CSV_f5178_T620,TF_BE_40#22,TF_BE_40,DOWN_BM,,
FWD_CSV_f5178_T620,TF_BE_40#7,TF_BE_40,DOWN_BM,,
FWD_CSV_f5178_T620,TF_BE_40#9,TF_BE_40,IDLE,,
FWD_CSV_f5178_T620,TF_FE_3#1,TF_FE_3,DOWN_BM,,
FWD_CSV_f5178_T620,TF_FE_5#1,TF_FE_5,IDLE,,
FWD_CSV_f5178_T620,WE_FE_84#1,WE_FE_84,RUN,,
FWD_CSV_f5178_T620,WE_FE_84#10,WE_FE_84,RUN,,
FWD_CSV_f5178_T620,WE_FE_84#11,WE_FE_84,RUN,,
FWD_CSV_f5178_T620,WE_FE_84#12,WE_FE_84,RUN,,
FWD_CSV_f5178_T620,WE_FE_84#13,WE_FE_84,RUN,,
